"State","X2020.01.22","X2020.01.23","X2020.01.24","X2020.01.25","X2020.01.26","X2020.01.27","X2020.01.28","X2020.01.29","X2020.01.30","X2020.01.31","X2020.02.01","X2020.02.02","X2020.02.03","X2020.02.04","X2020.02.05","X2020.02.06","X2020.02.07","X2020.02.08","X2020.02.09","X2020.02.10","X2020.02.11","X2020.02.12","X2020.02.13","X2020.02.14","X2020.02.15","X2020.02.16","X2020.02.17","X2020.02.18","X2020.02.19","X2020.02.20","X2020.02.21","X2020.02.22","X2020.02.23","X2020.02.24","X2020.02.25","X2020.02.26","X2020.02.27","X2020.02.28","X2020.02.29","X2020.03.01","X2020.03.02","X2020.03.03","X2020.03.04","X2020.03.05","X2020.03.06","X2020.03.07","X2020.03.08","X2020.03.09","X2020.03.10","X2020.03.11","X2020.03.12","X2020.03.13","X2020.03.14","X2020.03.15","X2020.03.16","X2020.03.17","X2020.03.18","X2020.03.19","X2020.03.20","X2020.03.21","X2020.03.22","X2020.03.23","X2020.03.24","X2020.03.25","X2020.03.26","X2020.03.27","X2020.03.28","X2020.03.29","X2020.03.30","X2020.03.31","X2020.04.01","X2020.04.02","X2020.04.03","X2020.04.04","X2020.04.05","X2020.04.06","X2020.04.07","X2020.04.08","X2020.04.09","X2020.04.10","X2020.04.11","X2020.04.12","X2020.04.13","X2020.04.14","X2020.04.15","X2020.04.16","X2020.04.17","X2020.04.18","X2020.04.19","X2020.04.20","X2020.04.21","X2020.04.22","X2020.04.23","X2020.04.24","X2020.04.25","X2020.04.26","X2020.04.27","X2020.04.28","X2020.04.29","X2020.04.30","X2020.05.01","X2020.05.02","X2020.05.03","X2020.05.04","X2020.05.05","X2020.05.06","X2020.05.07","X2020.05.08","X2020.05.09","X2020.05.10","X2020.05.11","X2020.05.12","X2020.05.13","X2020.05.14","X2020.05.15","X2020.05.16","X2020.05.17","X2020.05.18","X2020.05.19","X2020.05.20","X2020.05.21","X2020.05.22","X2020.05.23","X2020.05.24","X2020.05.25","X2020.05.26","X2020.05.27","X2020.05.28","X2020.05.29","X2020.05.30","X2020.05.31"
"Missouri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,4,5,8,8,9,10,12,13,15,18,24,31,44,52,56,79,86,94,105,116,116,136,151,164,170,184,194,196,201,221,236,248,267,280,282,296,324,331,341,355,373,378,387,408,429,449,481,492,502,512,528,548,564,579,593,601,609,631,643,670,680,685,689,694,698,705,715,740,782,784
"Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,5,5,5,5,6,6,6,6,6,6,6,6,6,7,7,7,7,8,10,10,12,12,14,14,14,14,14,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17
"Nebraska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,4,5,6,6,8,8,10,12,14,15,18,18,18,19,21,22,24,24,28,28,33,38,42,46,50,52,54,54,56,67,70,72,75,77,78,81,85,91,92,95,97,99,102,106,117,122,129,129,132,136,141,148,149,150,153,155,160,168,170,177,177,178
"Nevada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,4,6,10,10,10,14,15,18,26,32,38,43,46,46,58,60,80,82,86,111,113,114,130,137,142,151,155,158,163,163,187,195,203,206,206,219,225,237,243,254,257,262,266,276,286,293,301,306,306,312,321,331,339,345,349,350,364,373,378,381,387,392,394,396,396,402,410,415,417,421
"NewHampshire",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,3,4,5,7,9,9,9,13,18,21,22,23,23,23,27,32,34,37,38,41,42,42,48,51,53,60,60,60,60,66,72,81,84,86,86,92,111,114,121,131,133,133,142,150,151,159,171,172,172,182,190,199,204,208,209,210,214,223,232,238,242,245
"NewJersey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,5,9,11,16,20,27,44,62,81,108,140,161,199,267,355,539,647,847,917,1005,1232,1504,1700,1932,2183,2350,2443,2805,3156,3518,3840,4070,4202,4377,4753,5063,5368,5617,5863,5938,6044,6442,6770,7228,7538,7742,7871,7910,8244,8549,8801,8952,9116,9255,9310,9508,9702,9946,10138,10249,10356,10435,10586,10747,10843,10985,11081,11133,11144,11191,11339,11401,11531,11634,11698
"NewMexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,5,6,7,10,11,12,12,13,16,17,19,20,26,31,36,36,44,51,53,55,58,65,71,78,84,93,99,104,110,112,123,131,139,151,156,162,169,172,181,191,200,208,219,231,242,253,259,265,270,276,283,294,302,308,317,320,325,329,335,344,351,356
"NewYork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,10,18,32,39,68,95,142,183,256,375,502,645,935,1180,1512,1929,2415,2963,3716,4535,5335,6130,7185,8138,9166,10162,11159,12116,12998,14001,14937,15669,16473,17141,17793,18412,19040,19647,20212,20759,21326,21804,22267,22777,23287,23616,23841,24035,24576,24788,25028,25956,26206,26358,26584,26798,27003,27282,27448,27617,27755,27953,28168,28302,28437,28540,28663,28802,28900,29046,29138,29241,29339,29438,29535,29612,29699
"NorthCarolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,6,6,10,11,17,19,30,37,40,50,61,74,78,86,86,91,116,128,140,159,175,183,187,217,242,253,270,300,309,331,353,366,385,405,428,436,454,477,497,521,537,554,561,571,597,615,632,660,671,679,684,711,721,733,754,763,771,780,789,827,859,888,903,911
"NorthDakota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,3,3,3,3,4,4,5,7,7,8,9,9,9,9,9,9,10,13,13,14,15,15,16,17,19,19,19,19,23,24,25,25,25,31,31,33,35,35,36,38,40,40,42,42,43,44,45,49,51,52,52,53,54,54,59,60,62,63,64
"Ohio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,6,8,11,15,22,25,30,40,55,65,81,91,102,119,142,167,193,213,231,247,253,274,324,361,389,418,451,471,509,557,610,656,690,711,728,753,799,937,975,1002,1021,1038,1056,1135,1225,1271,1306,1331,1341,1357,1436,1483,1534,1581,1610,1625,1657,1720,1781,1836,1872,1956,1969,1987,2002,2044,2098,2131,2149,2155
"Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,5,7,8,15,16,17,23,30,34,38,42,46,51,67,79,80,88,93,96,98,109,123,131,136,139,140,143,164,169,179,188,194,195,197,207,214,222,230,238,238,238,247,253,260,266,270,272,274,278,278,284,285,288,288,288,294,299,304,307,311,311,313,318,322,326,329,334,334
"Oregon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,4,5,5,8,10,11,12,13,13,16,18,19,21,22,26,27,29,33,38,44,48,51,52,53,55,58,64,70,72,74,75,78,78,83,86,87,91,92,99,101,103,104,109,109,109,113,115,121,124,127,127,130,130,134,137,137,137,137,138,140,144,145,147,147,148,148,148,148,151,151,153,153
"Pennsylvania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,6,7,11,16,23,35,40,48,72,74,90,102,139,159,169,240,313,344,435,515,525,563,746,833,864,1027,1150,1285,1366,1620,1720,1723,1786,1842,1871,1946,2092,2392,2580,2671,2794,2843,2880,3206,3360,3599,3724,3793,3819,3846,3924,4104,4298,4432,4490,4504,4560,4675,4794,4887,5032,5121,5145,5159,5175,5290,5397,5467,5537,5555
"RhodeIsland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,8,10,12,14,17,25,27,30,35,43,49,56,63,73,80,87,105,118,137,150,155,171,181,189,202,215,226,233,239,251,266,279,296,320,341,355,370,388,399,418,422,430,444,462,468,479,489,499,506,532,538,556,579,597,608,608,634,655,677,693,711,718
"SouthCarolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,5,7,7,9,13,15,16,18,22,26,31,34,40,44,48,51,63,67,72,80,82,87,97,107,109,116,119,120,124,135,140,150,157,166,174,177,192,232,244,256,267,275,283,296,305,316,320,330,331,346,355,362,371,380,380,385,391,399,407,416,419,425,435,440,446,466,470,483,487,494
"SouthDakota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,4,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,9,9,10,10,11,11,11,13,17,21,21,21,21,24,29,31,31,34,34,34,39,39,43,44,44,44,44,46,46,47,50,50,50,50,50,54,54,59,62,62
"Tennessee",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,6,6,7,13,13,23,32,36,47,50,65,72,83,95,104,107,107,114,123,135,142,146,148,151,156,159,169,172,172,179,182,184,190,196,200,205,210,211,216,225,237,238,240,241,242,248,264,271,284,288,292,293,296,301,309,313,315,325,332,334,339,341,352,356,360,360
"Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,5,5,7,7,11,12,21,23,29,35,46,57,63,79,97,124,136,159,177,195,228,246,265,288,320,365,395,428,461,487,503,523,552,571,601,625,662,676,699,738,776,828,853,875,890,914,955,985,1016,1059,1086,1110,1137,1169,1205,1256,1300,1330,1356,1362,1405,1438,1480,1498,1522,1533,1536,1552,1598,1618,1645,1676,1683
"Utah",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,4,5,7,7,7,8,8,13,13,13,13,17,18,18,18,19,20,21,23,25,27,28,32,34,35,39,41,41,41,45,45,46,46,49,50,50,56,59,61,61,66,67,68,73,76,76,77,78,80,80,88,90,92,93,97,97,98,101,105,106,107,112,113
"Vermont",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,7,8,9,10,12,12,12,13,16,17,17,20,22,23,23,23,23,24,24,26,27,28,29,34,34,36,36,37,39,39,42,43,45,45,46,46,46,48,49,50,52,52,52,52,53,53,53,53,53,53,53,53,53,53,54,54,54,54,54,54,54,54,54,54,54,55,55,55,55
"Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,6,6,7,9,14,14,17,22,26,27,34,41,46,52,52,54,69,75,109,121,130,141,149,154,195,208,238,258,277,300,325,349,375,413,436,448,458,492,522,552,581,616,660,684,713,713,769,812,827,839,850,891,927,955,977,1002,1009,1014,1041,1074,1099,1136,1159,1171,1208,1236,1281,1338,1358,1370,1375
"Washington",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,10,11,11,12,16,19,22,24,29,32,37,40,42,48,54,68,75,83,95,97,110,123,130,151,177,191,207,221,226,249,272,293,318,344,383,409,430,456,483,498,511,525,552,572,588,610,629,637,661,683,696,717,731,743,757,771,792,805,822,829,833,840,846,863,881,903,915,925,939,957,972,977,991,1008,1015,1016,1020,1042,1045,1054,1061,1062,1069,1076,1091,1106,1116,1120,1126,1126
"WestVirginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,4,4,4,5,5,6,8,9,10,12,13,16,18,20,26,26,29,31,32,33,34,37,38,40,44,47,50,50,50,50,51,51,52,53,54,57,58,59,62,64,65,67,68,68,69,71,72,72,72,73,74,74,74,74,75,75
"Wisconsin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,5,5,7,10,16,17,17,20,25,33,37,49,60,73,83,94,107,116,131,141,145,155,172,184,197,205,212,222,231,243,247,257,262,266,274,281,300,308,316,327,334,339,340,353,362,374,384,398,400,409,418,421,434,445,453,453,459,467,481,487,496,507,510,514,517,539,550,569,588,594
"Wyoming",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,10,10,11,12,12,12,12,12,13,14,15,15,16,16
"AmericanSamoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,3,3,4,4,4,4,4,4,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"NorthernMarianaIslands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"PuertoRico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,5,6,8,11,12,15,18,20,21,23,24,33,39,39,39,39,39,39,39,39,39,41,42,43,46,69,77,83,84,84,86,86,92,94,95,97,97,99,99,102,107,108,111,113,114,115,117,122,122,123,124,124,125,126,126,127,127,129,129,129,131,132,133,136
"VirginIslands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"DistrictofColumbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3,4,5,9,9,11,12,15,21,22,24,24,27,32,38,47,50,52,67,72,81,86,91,96,105,112,127,139,153,165,178,185,190,205,224,231,240,251,258,264,277,285,304,311,323,328,336,350,358,368,375,383,392,400,407,412,418,427,432,440,440,445,453,460,462,466
