State,Postal.Code,FIPS_S
Alabama,AL,1
Alaska,AK,2
Arizona,AZ,4
Arkansas,AR,5
California,CA,6
Colorado,CO,8
Connecticut,CT,9
Delaware,DE,10
Florida,FL,12
Georgia,GA,13
Hawaii,HI,15
Idaho,ID,16
Illinois,IL,17
Indiana,IN,18
Iowa,IA,19
Kansas,KS,20
Kentucky,KY,21
Louisiana,LA,22
Maine,ME,23
Maryland,MD,24
Massachusetts,MA,25
Michigan,MI,26
Minnesota,MN,27
Mississippi,MS,28
Missouri,MO,29
Montana,MT,30
Nebraska,NE,31
Nevada,NV,32
NewHampshire,NH,33
NewJersey,NJ,34
NewMexico,NM,35
NewYork,NY,36
NorthCarolina,NC,37
NorthDakota,ND,38
Ohio,OH,39
Oklahoma,OK,40
Oregon,OR,41
Pennsylvania,PA,42
RhodeIsland,RI,44
SouthCarolina,SC,45
SouthDakota,SD,46
Tennessee,TN,47
Texas,TX,48
Utah,UT,49
Vermont,VT,50
Virginia,VA,51
Washington,WA,53
WestVirginia,WV,54
Wisconsin,WI,55
Wyoming,WY,56
AmericanSamoa,AS,60
Guam,GU,66
NorthernMarianaIslands,MP,69
PuertoRico,PR,72
VirginIslands,VI,78
DistrictofColumbia,DC,11